epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.0310,4.4582,0.1419,0.0530,3.9395,0.1439
1,0.0310,3.9697,0.1701,0.0606,3.8642,0.2197
2,0.0367,3.9610,0.1598,0.0303,3.9201,0.1742
3,0.0404,3.9101,0.1917,0.0455,3.9625,0.1591
4,0.0517,3.9023,0.1917,0.0455,3.9817,0.1212
5,0.0517,3.9079,0.1945,0.0379,3.9727,0.1591
6,0.0451,3.9138,0.1842,0.0833,3.8274,0.2348
7,0.0461,3.9127,0.1917,0.0227,3.9186,0.1591
8,0.0442,3.9004,0.1870,0.0455,3.8704,0.1894
9,0.0489,3.8925,0.2002,0.0455,3.8945,0.1818
10,0.0470,3.8732,0.1936,0.0530,3.8672,0.1667
11,0.0479,3.8867,0.1908,0.0227,4.0111,0.1288
12,0.0526,3.8065,0.2265,0.0758,3.8081,0.2348
13,0.0583,3.8093,0.2340,0.0379,3.8765,0.1439
14,0.0573,3.7778,0.2444,0.0455,3.8152,0.2348
15,0.0461,3.8085,0.2199,0.0606,3.8327,0.2121
16,0.0536,3.7858,0.2162,0.0682,3.7759,0.2197
17,0.0573,3.7556,0.2481,0.0833,3.7839,0.2273
18,0.0508,3.7700,0.2415,0.0682,3.7953,0.2348
19,0.0592,3.7718,0.2350,0.0530,3.8977,0.1439
20,0.0677,3.7629,0.2378,0.0606,3.8122,0.2576
21,0.0620,3.7878,0.2331,0.0530,3.8385,0.2273
22,0.0583,3.7605,0.2434,0.0379,3.7917,0.2121
