epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.06860902160406113,3.6985838413238525,0.2678571343421936,0.07575757801532745,3.7597997188568115,0.24242424964904785
1,0.07706766575574875,3.680953025817871,0.2659774422645569,0.09090909361839294,3.7500391006469727,0.22727273404598236
2,0.07236842066049576,3.6742217540740967,0.2678571343421936,0.06818182021379471,3.7585361003875732,0.25
3,0.06578947603702545,3.682171583175659,0.2772556245326996,0.09090909361839294,3.7530200481414795,0.24242424964904785
4,0.07894736528396606,3.6790771484375,0.27349624037742615,0.07575757801532745,3.7615468502044678,0.25
5,0.0780075192451477,3.681169271469116,0.26409775018692017,0.06818182021379471,3.7678611278533936,0.25
6,0.07988721877336502,3.663783550262451,0.2810150384902954,0.0833333358168602,3.7544209957122803,0.25
7,0.08364661782979965,3.672118902206421,0.27349624037742615,0.09090909361839294,3.7491369247436523,0.24242424964904785
8,0.07894736528396606,3.6654059886932373,0.27067670226097107,0.07575757801532745,3.7517755031585693,0.25
9,0.0714285746216774,3.6831464767456055,0.26409775018692017,0.0833333358168602,3.749819278717041,0.24242424964904785
10,0.08458646386861801,3.6767842769622803,0.2791353464126587,0.0833333358168602,3.747187614440918,0.24242424964904785
11,0.08082706481218338,3.6705758571624756,0.27067670226097107,0.0833333358168602,3.754688262939453,0.24242424964904785
12,0.0780075192451477,3.6611294746398926,0.2744360864162445,0.0833333358168602,3.752504348754883,0.25
13,0.07518796622753143,3.682105779647827,0.2697368562221527,0.09848485141992569,3.749791383743286,0.24242424964904785
14,0.08364661782979965,3.6546337604522705,0.2772556245326996,0.07575757801532745,3.743722677230835,0.24242424964904785
15,0.0714285746216774,3.6836090087890625,0.259398490190506,0.0833333358168602,3.7503573894500732,0.24242424964904785
16,0.0648496225476265,3.677659749984741,0.2631579041481018,0.09090909361839294,3.748023748397827,0.24242424964904785
17,0.07518796622753143,3.6452434062957764,0.2810150384902954,0.09848485141992569,3.742933750152588,0.2348484843969345
18,0.08552631735801697,3.6655995845794678,0.2763157784938812,0.09090909361839294,3.7445507049560547,0.24242424964904785
19,0.07894736528396606,3.6664321422576904,0.2725563943386078,0.0833333358168602,3.745054006576538,0.2348484843969345
20,0.08364661782979965,3.639101982116699,0.2810150384902954,0.09090909361839294,3.7423040866851807,0.24242424964904785
21,0.07706766575574875,3.669931650161743,0.27349624037742615,0.0833333358168602,3.739851951599121,0.2348484843969345
22,0.08834586292505264,3.674490451812744,0.26221805810928345,0.07575757801532745,3.742182970046997,0.24242424964904785
23,0.06672932207584381,3.6629343032836914,0.26409775018692017,0.07575757801532745,3.7445197105407715,0.24242424964904785
24,0.0780075192451477,3.6713688373565674,0.27161654829978943,0.0833333358168602,3.742767810821533,0.2348484843969345
25,0.07236842066049576,3.6549391746520996,0.2791353464126587,0.0833333358168602,3.7386012077331543,0.22727273404598236
26,0.0648496225476265,3.6700658798217773,0.27161654829978943,0.06818182021379471,3.74348783493042,0.2348484843969345
27,0.07236842066049576,3.6625306606292725,0.2650375962257385,0.09090909361839294,3.7362818717956543,0.22727273404598236
28,0.08740601688623428,3.665173292160034,0.27161654829978943,0.0833333358168602,3.7424325942993164,0.2348484843969345
29,0.07988721877336502,3.66829514503479,0.2763157784938812,0.09848485141992569,3.7371490001678467,0.22727273404598236
